internal_sku,row,group,description,unit
DOOR-001,1,Doors,"36'' x 80"" Door Blank with 8” Kick Plate (White/Bronze)",pcs
DOOR-002,2,Doors,"36'' x 80"" Door Blank with 14” Kick Plate (White/Bronze)",pcs
DOOR-003,3,Doors,"36'' x 80"" Door Blank with 16” Kick Plate (White/Bronze)",pcs
DOOR-004,4,Doors,"36'' x 80"" Door Blank with 24” Kick Plate (White/Bronze)",pcs
DOOR-005,5,Doors,"36'' x 80"" Door Blank with 36” Kick Plate (White/Bronze)",pcs
DOOR-006,6,Doors,"36” x 96"" Door Blank with 8” Kick Plate (White/Bronze)",pcs
DOOR-007,7,Doors,"40” x 80"" Door Blank with 8” Kick Plate (White/Bronze)",pcs
DOOR-008,8,Doors,"40” x 96"" Door Blank with 8” Kick Plate (White/Bronze)",pcs
DOOR-009,9,Doors,"42” x 80"" Door Blank with 8” Kick Plate (White/Bronze)",pcs
DOOR-010,10,Doors,"42” x 80"" Door Blank with 14” Kick Plate (White/Bronze)",pcs
DOOR-011,11,Doors,42” x 96” Door Blank with 8” Kick Plate (White/Bronze),pcs
DOOR-012,12,Doors,"48” x 80"" Door Blank with 14” Kick Plate (White/Bronze)",pcs
DOOR-013,13,Doors,"48” x 96"" Door Blank with 14” Kick Plate (White/Bronze)",pcs
DOOR-014,14,Doors,Z-Bar x 17' (White/Bronze),pcs
DOOR-015,15,Doors,Adjustable Z-Bar x 17',pcs
DOOR-016,16,Doors,Hinges (White/Bronze),pcs
DOOR-017,17,Doors,"Bugsweep 36""",pcs
DOOR-018,18,Doors,"Bugsweep 40""",pcs
DOOR-019,19,Doors,"Bugsweep 42""",pcs
DOOR-020,20,Doors,"Bugsweep 48""",pcs
DOOR-021,21,Doors,Eliminator Door Hardware Kit (White/Bronze),pcs
DOOR-022,22,Doors,"Complect 8"" KP DOOR, ADJ-Z,CLOS KIT",compl
DOOR-023,23,Doors,Pet Door S (White/Bronze),pcs
DOOR-024,24,Doors,Pet Door M (White/Bronze),pcs
DOOR-025,25,Doors,Pet Door L (White/Bronze),pcs
DOOR-026,26,Doors,Pet Door XL (White/Bronze),pcs
GUTR-001,27,Gutter,5” Super Gutter x 24' (White/Bronze),pcs
GUTR-002,28,Gutter,5” Super Gutter x 30' (White/Bronze),pcs
GUTR-003,29,Gutter,5” Super Gutter x 36' (Bronze),pcs
GUTR-004,30,Gutter,5” Super Gutter x 38' (White/Bronze),pcs
GUTR-005,31,Gutter,5” Super Gutter x 40' (White/Bronze),pcs
GUTR-006,32,Gutter,7” Super Gutter x 24' (White/Bronze),pcs
GUTR-007,33,Gutter,7” Super Gutter x 30' (White/Bronze),pcs
GUTR-008,34,Gutter,7” Super Gutter x 36' (White/Bronze),pcs
GUTR-009,35,Gutter,7” Super Gutter x 38' (White/Bronze),pcs
GUTR-010,36,Gutter,7” Super Gutter x 39' (White/Bronze),pcs
GUTR-011,37,Gutter,7” Super Gutter x 40' (White/Bronze),pcs
GUTR-012,38,Gutter,"Super Gutter End Cap 5"" (White/Bronze)",pcs
GUTR-013,39,Gutter,"Super Gutter End Cap 7"" (White/Bronze)",pcs
GUTR-014,40,Gutter,3 x .045 Extruded Header x 24' (White/Bronze),pcs
GUTR-015,41,Gutter,3 x .045 Extruded Header x 30' (White/Bronze),pcs
GUTR-016,42,Gutter,Extruded T-Gutter x 24’  (White/Bronze),pcs
GUTR-017,43,Gutter,5-1/2” Extruded T-Fascia x 27’ (White/Bronze),pcs
GUTR-018,44,Gutter,E-Fascia x 24’ (White),pcs
GUTR-019,45,Gutter,E-Fascia x 25’ (White),pcs
GUTR-020,46,Gutter,E-Fascia x 27’ (White/Bronze),pcs
GUTR-021,47,Gutter,E-Fascia x 30’ (White),pcs
GUTR-022,48,Gutter,E-Gutter x 24' (White/Bronze),pcs
GUTR-023,49,Gutter,E-Gutter x 27' (White),pcs
GUTR-024,50,Gutter,E-Gutter x 30' (White/Bronze),pcs
GUTR-025,51,Gutter,Rain Carrying Accessories 3” x 4” Downpipe x 8' (White/Bronze),pcs
GUTR-026,52,Gutter,Rain Carrying Accessories 3” x 4” Downpipe x 10' (White/Bronze),pcs
GUTR-027,53,Gutter,Rain Carrying Accessories (3 x 4 B Elbow) (White/Bronze),pcs
GUTR-028,54,Gutter,Rain Carrying Accessories (3 x 4 A Elbow) (White/Bronze),pcs
GUTR-029,55,Gutter,Rain Carrying Accessories (3 x 4 Drop Outlet; Mill Finish),pcs
CAUL-001,56,Caulk,Solar Seal White,pcs
CAUL-002,57,Caulk,Solar Seal Bronze,pcs
PROF-001,58,Profil,"1x.035 Picket 19'10""",pcs
PROF-002,59,Profil,1 x 2 Open Back x .040 min. x 24’ (White/Bronze),pcs
PROF-003,60,Profil,1 x 2 Open Back x .040 min. x 30’ (White/Bronze),pcs
PROF-004,61,Profil,1 x 3 Open Back x .040 min. x 24' (White/Bronze),pcs
PROF-005,62,Profil,1 x 3 Open Back x .040 min. x 30' (White/Bronze),pcs
PROF-006,63,Profil,2 x 2 x .045 Patio x 24’ (White/Bronze),pcs
PROF-007,64,Profil,2 x 2 x .045 Patio x 30' (White/Bronze),pcs
PROF-008,65,Profil,2 x 3 x .045 Patio x 24’ (White/Bronze),pcs
PROF-009,66,Profil,2 x 3 x .045 Patio x 30’ (White/Bronze),pcs
PROF-010,67,Profil,2 x 4 x .050 Patio x 24’ (White/Bronze),pcs
PROF-011,68,Profil,2 x 4 x .050 Patio x 30’ (White/Bronze),pcs
PROF-012,69,Profil,2 x 5 x .050 Patio x 24’ (White/Bronze),pcs
PROF-013,70,Profil,2 x 5 x .050 Patio x 30’ (White/Bronze),pcs
PROF-014,71,Profil,2” x 4” SMB x 22' (Bronze),pcs
PROF-015,72,Profil,2” x 4” SMB x 24' (White/Bronze),pcs
PROF-016,73,Profil,2” x 4” SMB x 26' (Bronze),pcs
PROF-017,74,Profil,2” x 4” SMB x 30' (White/Bronze),pcs
PROF-018,75,Profil,2” x 5” SMB x 24' (White/Bronze),pcs
PROF-019,76,Profil,2” x 5” SMB x 30' (White/Bronze),pcs
PROF-020,77,Profil,2” x 6” SMB x 20' (White/Bronze),pcs
PROF-021,78,Profil,2” x 6” SMB x 22' (White/Bronze),pcs
PROF-022,79,Profil,2” x 6” SMB x 24' (White/Bronze),pcs
PROF-023,80,Profil,2” x 6” SMB x 26' (White/Bronze),pcs
PROF-024,81,Profil,2” x 6” SMB x 28' (White/Bronze),pcs
PROF-025,82,Profil,2” x 6” SMB x 30' (White/Bronze),pcs
PROF-026,83,Profil,2” x 7” SMB x 20' (White/Bronze),pcs
PROF-027,84,Profil,2” x 7” SMB x 22' (White/Bronze),pcs
PROF-028,85,Profil,2” x 7” SMB x 24' (White/Bronze),pcs
PROF-029,86,Profil,2” x 7” SMB x 30' (White/Bronze),pcs
PROF-030,87,Profil,2” x 7” SMB x 32' (White/Bronze),pcs
PROF-031,88,Profil,2” x 8” SMB x 20' (White/Bronze),pcs
PROF-032,89,Profil,2” x 8” SMB x 22' (White/Bronze),pcs
PROF-033,90,Profil,2” x 8” SMB x 24' (White/Bronze),pcs
PROF-034,91,Profil,2” x 8” SMB x 28' (White/Bronze),pcs
PROF-035,92,Profil,2” x 8” SMB x 30' (White/Bronze),pcs
PROF-036,93,Profil,2” x 8” SMB x 32' (White/Bronze),pcs
PROF-037,94,Profil,2” x 8” SMB x 36' (White/Bronze),pcs
PROF-038,95,Profil,2” x 8” SMB x 40' (White/Bronze),pcs
PROF-039,96,Profil,2” x 9” SMB x 22' (White/Bronze),pcs
PROF-040,97,Profil,2” x 9” SMB x 24' (White/Bronze),pcs
PROF-041,98,Profil,2” x 9” SMB x 26' (White/Bronze),pcs
PROF-042,99,Profil,2” x 9” SMB x 28' (White/Bronze),pcs
PROF-043,100,Profil,2” x 9” SMB x 30' (White/Bronze),pcs
PROF-044,101,Profil,2” x 9” SMB x 32' (White/Bronze),pcs
PROF-045,102,Profil,2” x 9” SMB x 36' (White/Bronze),pcs
PROF-046,103,Profil,2” x 9” SMB x 40' (White/Bronze),pcs
PROF-047,104,Profil,2” x 10” SMB x 24' (White/Bronze),pcs
PROF-048,105,Profil,2” x 10” SMB x 26' (White/Bronze),pcs
PROF-049,106,Profil,2” x 10” SMB x 28' (White/Bronze),pcs
PROF-050,107,Profil,2” x 10” SMB x 30' (White/Bronze),pcs
PROF-051,108,Profil,2” x 10” SMB x 32' (White/Bronze) ,pcs
PROF-052,109,Profil,2” x 10” SMB x 36' (White/Bronze),pcs
