row,description,supplier,price,raw_value,clean,note
1,"36'' x 80"" Door Blank with 8” Kick Plate (White/Bronze)",EMS,66.0,66,True,
1,"36'' x 80"" Door Blank with 8” Kick Plate (White/Bronze)",Lancing,49.71,49.71,True,
1,"36'' x 80"" Door Blank with 8” Kick Plate (White/Bronze)",JM Fasteners,49.5,49.5,True,
1,"36'' x 80"" Door Blank with 8” Kick Plate (White/Bronze)",Aluminum Distributors Int LLC,54.03,54.03,True,
1,"36'' x 80"" Door Blank with 8” Kick Plate (White/Bronze)",Florida Sales & Marketing,50.0,50,True,
1,"36'' x 80"" Door Blank with 8” Kick Plate (White/Bronze)",American Metals Supply,49.13,49.13,True,
2,"36'' x 80"" Door Blank with 14” Kick Plate (White/Bronze)",EMS,68.0,68,True,
2,"36'' x 80"" Door Blank with 14” Kick Plate (White/Bronze)",Aluminum Distributors Int LLC,60.0,60,True,
2,"36'' x 80"" Door Blank with 14” Kick Plate (White/Bronze)",Florida Sales & Marketing,59.95,59.95,True,
2,"36'' x 80"" Door Blank with 14” Kick Plate (White/Bronze)",American Metals Supply,52.82,52.82,True,
6,"36” x 96"" Door Blank with 8” Kick Plate (White/Bronze)",Florida Sales & Marketing,92.5,92.5,True,
7,"40” x 80"" Door Blank with 8” Kick Plate (White/Bronze)",Aluminum Distributors Int LLC,74.35,74.35,True,
7,"40” x 80"" Door Blank with 8” Kick Plate (White/Bronze)",Florida Sales & Marketing,89.5,89.5,True,
8,"40” x 96"" Door Blank with 8” Kick Plate (White/Bronze)",Florida Sales & Marketing,98.95,98.95,True,
9,"42” x 80"" Door Blank with 8” Kick Plate (White/Bronze)",EMS,118.0,118,True,
9,"42” x 80"" Door Blank with 8” Kick Plate (White/Bronze)",Aluminum Distributors Int LLC,89.29,89.29,True,
9,"42” x 80"" Door Blank with 8” Kick Plate (White/Bronze)",Florida Sales & Marketing,90.75,90.75,True,
9,"42” x 80"" Door Blank with 8” Kick Plate (White/Bronze)",American Metals Supply,81.79,81.79,True,
11,42” x 96” Door Blank with 8” Kick Plate (White/Bronze),Florida Sales & Marketing,102.5,102.5,True,
12,"48” x 80"" Door Blank with 14” Kick Plate (White/Bronze)",Lancing,87.01,87.01,True,
12,"48” x 80"" Door Blank with 14” Kick Plate (White/Bronze)",Aluminum Distributors Int LLC,98.6,98.6,True,
12,"48” x 80"" Door Blank with 14” Kick Plate (White/Bronze)",Florida Sales & Marketing,91.7,91.7,True,
12,"48” x 80"" Door Blank with 14” Kick Plate (White/Bronze)",American Metals Supply,87.14,87.14,True,
13,"48” x 96"" Door Blank with 14” Kick Plate (White/Bronze)",Florida Sales & Marketing,113.5,113.5,True,
14,Z-Bar x 17' (White/Bronze),EMS,21.25,21.25,True,
14,Z-Bar x 17' (White/Bronze),JM Fasteners,18.95,18.95,True,
14,Z-Bar x 17' (White/Bronze),American Metals Supply,21.71,21.71,True,
15,Adjustable Z-Bar x 17',EMS,47.09,47.09,True,
15,Adjustable Z-Bar x 17',Lancing,27.03,27.03,True,
15,Adjustable Z-Bar x 17',JM Fasteners,22.85,22.85,True,
15,Adjustable Z-Bar x 17',Aluminum Distributors Int LLC,21.0,21,True,
15,Adjustable Z-Bar x 17',Florida Sales & Marketing,18.0,18,True,
15,Adjustable Z-Bar x 17',American Metals Supply,29.35,29.35,True,
16,Hinges (White/Bronze),Lancing,1.85,1.85,True,
16,Hinges (White/Bronze),JM Fasteners,1.25,1.25,True,
16,Hinges (White/Bronze),Aluminum Distributors Int LLC,0.99,0.99,True,
16,Hinges (White/Bronze),Florida Sales & Marketing,1.0,1,True,
16,Hinges (White/Bronze),American Metals Supply,1.83,1.83,True,
17,"Bugsweep 36""",EMS,3.5,3.5,True,
17,"Bugsweep 36""",Lancing,2.74,2.74,True,
17,"Bugsweep 36""",JM Fasteners,2.0,2,True,
17,"Bugsweep 36""",Aluminum Distributors Int LLC,1.7,1.7,True,
17,"Bugsweep 36""",Florida Sales & Marketing,1.84,1.84,True,
